epoch;accuracy;loss;val_accuracy;val_loss
0;0.500249981880188;1.3043171167373657;0.49950000643730164;0.948567807674408
1;0.5006428360939026;0.802613377571106;0.5019999742507935;0.7266620993614197
2;0.5053571462631226;0.7156707048416138;0.5044999718666077;0.8043422102928162
3;0.5210000276565552;0.7065455913543701;0.5095000267028809;1.167346477508545
4;0.52439284324646;0.7042750716209412;0.5120000243186951;1.3229840993881226
5;0.5233928561210632;0.7037448287010193;0.5145000219345093;1.6161433458328247
6;0.5294643044471741;0.6997952461242676;0.5304999947547913;0.732452392578125
7;0.5359285473823547;0.6956586837768555;0.5095000267028809;1.8668785095214844
8;0.5394285917282104;0.6919320821762085;0.5360000133514404;0.7754010558128357
9;0.5417143106460571;0.6910509467124939;0.5385000109672546;0.7710608243942261
10;0.5515357255935669;0.6830055117607117;0.5115000009536743;9.94074535369873
11;0.5600000023841858;0.6783955693244934;0.5289999842643738;2.8869123458862305
12;0.5662142634391785;0.6785672307014465;0.5299999713897705;12.909388542175293
13;0.5722857117652893;0.6757206320762634;0.5684999823570251;1.3778221607208252
14;0.5853928327560425;0.6678070425987244;0.5145000219345093;4.185302734375
15;0.5918928384780884;0.6651574373245239;0.5770000219345093;1.9616661071777344
16;0.6078571677207947;0.6597716808319092;0.5569999814033508;1.9388105869293213
17;0.6233571171760559;0.647051990032196;0.5975000262260437;0.93156498670578
18;0.6453928351402283;0.6312193870544434;0.5740000009536743;2.6005349159240723
19;0.6563571691513062;0.6182547211647034;0.5874999761581421;1.1457586288452148
20;0.6652500033378601;0.6092578172683716;0.6154999732971191;0.8675679564476013
21;0.6816785931587219;0.5949006080627441;0.6650000214576721;0.6292572617530823
22;0.6941071152687073;0.5813939571380615;0.6880000233650208;0.6330589056015015
23;0.6993571519851685;0.5676417350769043;0.6890000104904175;0.6613989472389221
24;0.7085357308387756;0.5573403835296631;0.6880000233650208;0.8553005456924438
25;0.7201071381568909;0.5441042184829712;0.6825000047683716;0.7145577073097229
26;0.727821409702301;0.5358986258506775;0.7080000042915344;0.645839273929596
